showtime_id|movie_id|room_id|date|time|price
SUATCHIEU_20251214_0001|F0004|PHONG_001|2025-12-14|09:00|65000
SUATCHIEU_20251214_0002|F0005|PHONG_001|2025-12-14|11:10|65000
SUATCHIEU_20251214_0003|F0006|PHONG_001|2025-12-14|14:20|70000
SUATCHIEU_20251214_0004|F0007|PHONG_001|2025-12-14|16:20|70000
SUATCHIEU_20251214_0005|F0008|PHONG_001|2025-12-14|18:30|75000
SUATCHIEU_20251214_0006|F0009|PHONG_001|2025-12-14|20:50|80000
SUATCHIEU_20251214_0007|F0001|PHONG_002|2025-12-14|09:20|65000
SUATCHIEU_20251214_0008|F0002|PHONG_002|2025-12-14|11:40|65000
SUATCHIEU_20251214_0009|F0003|PHONG_002|2025-12-14|14:10|70000
SUATCHIEU_20251214_0010|F0004|PHONG_002|2025-12-14|16:30|70000
SUATCHIEU_20251214_0011|F0005|PHONG_002|2025-12-14|18:40|75000
SUATCHIEU_20251214_0012|F0006|PHONG_002|2025-12-14|21:50|80000
SUATCHIEU_20251214_0013|F0008|PHONG_003|2025-12-14|09:40|65000
SUATCHIEU_20251214_0014|F0009|PHONG_003|2025-12-14|12:00|70000
SUATCHIEU_20251214_0015|F0010|PHONG_003|2025-12-14|14:30|70000
SUATCHIEU_20251214_0016|F0001|PHONG_003|2025-12-14|16:50|70000
SUATCHIEU_20251214_0017|F0002|PHONG_003|2025-12-14|19:10|75000
SUATCHIEU_20251214_0018|F0003|PHONG_003|2025-12-14|21:40|80000
SUATCHIEU_20251214_0019|F0006|PHONG_004|2025-12-14|10:00|65000
SUATCHIEU_20251214_0020|F0007|PHONG_004|2025-12-14|12:00|70000
SUATCHIEU_20251214_0021|F0008|PHONG_004|2025-12-14|14:10|70000
SUATCHIEU_20251214_0022|F0009|PHONG_004|2025-12-14|16:30|70000
SUATCHIEU_20251214_0023|F0010|PHONG_004|2025-12-14|19:00|75000
SUATCHIEU_20251214_0024|F0001|PHONG_004|2025-12-14|21:20|80000
SUATCHIEU_20251214_0025|F0003|PHONG_005|2025-12-14|10:20|65000
SUATCHIEU_20251214_0026|F0004|PHONG_005|2025-12-14|12:40|70000
SUATCHIEU_20251214_0027|F0005|PHONG_005|2025-12-14|14:50|70000
SUATCHIEU_20251214_0028|F0006|PHONG_005|2025-12-14|18:00|75000
SUATCHIEU_20251214_0029|F0007|PHONG_005|2025-12-14|20:00|80000
SUATCHIEU_20251214_0030|F0010|PHONG_006|2025-12-14|10:40|65000
SUATCHIEU_20251214_0031|F0001|PHONG_006|2025-12-14|13:00|70000
SUATCHIEU_20251214_0032|F0002|PHONG_006|2025-12-14|15:20|70000
SUATCHIEU_20251214_0033|F0003|PHONG_006|2025-12-14|17:50|75000
SUATCHIEU_20251214_0034|F0004|PHONG_006|2025-12-14|20:10|80000
SUATCHIEU_20251215_0001|F0006|PHONG_001|2025-12-15|09:00|65000
SUATCHIEU_20251215_0002|F0007|PHONG_001|2025-12-15|11:00|65000
SUATCHIEU_20251215_0003|F0008|PHONG_001|2025-12-15|13:10|70000
SUATCHIEU_20251215_0004|F0009|PHONG_001|2025-12-15|15:30|70000
SUATCHIEU_20251215_0005|F0010|PHONG_001|2025-12-15|18:00|75000
SUATCHIEU_20251215_0006|F0001|PHONG_001|2025-12-15|20:20|80000
SUATCHIEU_20251215_0007|F0003|PHONG_002|2025-12-15|09:20|65000
SUATCHIEU_20251215_0008|F0004|PHONG_002|2025-12-15|11:40|65000
SUATCHIEU_20251215_0009|F0005|PHONG_002|2025-12-15|13:50|70000
SUATCHIEU_20251215_0010|F0006|PHONG_002|2025-12-15|17:00|75000
SUATCHIEU_20251215_0011|F0007|PHONG_002|2025-12-15|19:00|75000
SUATCHIEU_20251215_0012|F0008|PHONG_002|2025-12-15|21:10|80000
SUATCHIEU_20251215_0013|F0010|PHONG_003|2025-12-15|09:40|65000
SUATCHIEU_20251215_0014|F0001|PHONG_003|2025-12-15|12:00|70000
SUATCHIEU_20251215_0015|F0002|PHONG_003|2025-12-15|14:20|70000
SUATCHIEU_20251215_0016|F0003|PHONG_003|2025-12-15|16:50|70000
SUATCHIEU_20251215_0017|F0004|PHONG_003|2025-12-15|19:10|75000
SUATCHIEU_20251215_0018|F0008|PHONG_004|2025-12-15|10:00|65000
SUATCHIEU_20251215_0019|F0009|PHONG_004|2025-12-15|12:20|70000
SUATCHIEU_20251215_0020|F0010|PHONG_004|2025-12-15|14:50|70000
SUATCHIEU_20251215_0021|F0001|PHONG_004|2025-12-15|17:10|75000
SUATCHIEU_20251215_0022|F0002|PHONG_004|2025-12-15|19:30|75000
SUATCHIEU_20251215_0023|F0003|PHONG_004|2025-12-15|22:00|80000
SUATCHIEU_20251215_0024|F0005|PHONG_005|2025-12-15|10:20|65000
SUATCHIEU_20251215_0025|F0006|PHONG_005|2025-12-15|13:30|70000
SUATCHIEU_20251215_0026|F0007|PHONG_005|2025-12-15|15:30|70000
SUATCHIEU_20251215_0027|F0008|PHONG_005|2025-12-15|17:40|75000
SUATCHIEU_20251215_0028|F0009|PHONG_005|2025-12-15|20:00|80000
SUATCHIEU_20251215_0029|F0002|PHONG_006|2025-12-15|10:40|65000
